ticker,year,marketcap,eps,earnings_rate,price,price_rate,pe_ratio,roe,sh_equity,sh_return,real_change
TMO,2016,56556,5.12,0.1316,143.18,0.3436,28.63,9.47,21350,1.55,-1.5
TMO,2015,49890,4.96,0.5184,125.04,0.3105,26.34,9.61,20548,0.57,14.51
TMO,2014,40119,4.76,0.4867,100.8,0.2635,31.51,11.24,16856,-9.44,24.04
TMO,2013,23203,3.53,0.3899,64.45,0.224,19.7,8.23,15465,0.83,56.4
TMO,2012,17125,3.24,0.4708,47.05,0.2071,12.88,7.83,15038,34.88,37.0
TMO,2011,22327,3.49,0.4442,58.6,0.2076,21.56,8.66,15361,9.33,-19.72
TMO,2010,19667,2.57,-43.8196,48.8,0.1801,23.13,6.71,15431,7.03,20.08
TMO,2009,14248,2.06,-43.9525,34.58,0.2296,14.33,5.7,14927,2.68,41.12
TMO,2008,24312,2.34,-44.0246,58.16,0.2558,31.94,6.86,14488,2.03,-40.54
TMO,2007,8881,1.81,-44.2764,21.05,-0.0037,52.57,5.47,13912,-117.82,176.37
TMO,2006,4869,0.86,-44.6925,24.84,0.0306,21.81,6.05,2793,-23.21,-15.28
TMO,2005,4925,1.38,-44.6372,30.4,0.0673,13.61,8.37,2666,1.38,-18.29
TMO,2004,4100,2.22,-44.5545,25.15,0.1257,20.5,15.19,2383,1.81,20.86
TMO,2003,3367,1.23,-44.6049,20.66,0.0988,10.87,9.84,2033,4.64,21.77
TMO,2002,4298,1.84,-44.5267,25.58,0.1801,-5503.44,16.23,1908,3.23,-19.26
TMO,2001,4883,-0.0,-0.2618,26.83,0.1731,-135.23,-0.03,2534,-12.72,-4.65
LIN,2024,209293,9.5,0.328,432.42,0.1607,45.76,15.61,39720,3.12,
LIN,2022,163004,8.3,0.2692,326.01,0.1244,39.31,10.36,40028,4.86,32.64
LIN,2021,179068,7.4,0.264,346.36,0.1515,46.8,8.69,44035,2.97,-5.88
LIN,2020,138800,4.75,0.2064,263.38,0.1192,55.5,5.29,47317,4.03,31.51
LIN,2019,115199,4.22,0.2403,212.94,0.1063,50.42,4.66,49074,-61.52,23.69
LIN,2018,51556,13.26,0.2882,156.23,0.087,11.77,8.49,51596,-13.31,36.3
LIN,2017,44279,4.36,0.0129,154.82,0.1252,35.51,20.72,6018,1.56,0.91
LIN,2016,33478,5.25,0.0349,117.06,0.0525,22.32,29.87,5021,3.01,32.26
LIN,2015,29389,5.39,0.0595,102.4,0.0914,19.0,35.25,4389,5.0,14.31
LIN,2014,37896,5.79,0.1092,129.78,0.1285,22.37,30.13,5623,3.13,-21.1
LIN,2013,38427,5.94,0.1177,129.82,0.1506,21.9,26.55,6609,2.8,-0.03
LIN,2012,32651,5.67,0.1349,109.57,0.1472,19.3,27.9,6064,3.6,18.49
LIN,2011,32309,5.53,0.1813,106.98,0.1807,19.32,30.47,5488,3.36,2.42
LIN,2010,29283,3.9,0.1316,95.38,0.1721,24.5,20.63,5792,2.2,12.16
LIN,2009,24709,4.08,0.1573,80.22,0.1825,19.7,23.59,5315,3.85,18.9
LIN,2008,18559,3.87,0.1358,59.29,0.1274,15.33,30.21,4009,4.53,35.3
LIN,2007,28298,3.69,0.1342,88.71,0.2116,24.04,22.89,5142,2.7,-33.16
LIN,2006,19193,3.05,0.1184,59.42,0.1327,19.43,21.7,4554,1.8,49.29
LIN,2005,17147,2.24,0.1268,52.92,0.1163,23.62,18.61,3902,1.88,12.28
LIN,2004,14388,2.14,0.1306,44.13,0.1371,20.64,19.32,3608,1.23,19.91
LIN,2003,12468,1.79,0.1417,38.25,0.1894,21.31,18.94,3088,0.74,15.4
LIN,2002,9405,1.25,0.1739,28.85,0.179,22.99,17.48,2340,0.55,32.57
SAP,2024,206932,5.47,0.2101,176.41,0.1137,54.34,14.67,43116,0.72,
SAP,2023,177638,3.17,0.1262,150.41,0.1233,44.14,8.67,43116,1.03,17.29
SAP,2022,121661,1.46,-0.0069,103.98,0.0639,65.97,4.27,40135,2.92,44.65
SAP,2021,157015,4.56,0.0877,133.06,0.0933,27.77,13.53,38853,1.7,-21.85
SAP,2020,136257,4.35,0.0655,115.28,0.1298,24.61,17.32,29713,2.48,15.43
SAP,2019,153665,2.79,0.104,128.7,0.1496,43.01,10.8,30764,1.25,-10.43
SAP,2018,111713,3.42,0.1264,93.56,0.1262,25.43,14.16,28832,1.94,37.55
SAP,2017,120444,3.36,0.1198,100.62,0.163,27.86,15.75,25509,1.42,-7.02
SAP,2016,106191,3.03,0.1048,88.64,0.1192,27.18,13.77,26361,1.31,13.52
